customer_id,signup_date,age,gender,region,acquisition_channel
CUST00001,2025-10-27,45,Other,North,Organic Search
CUST00002,2024-04-19,56,Other,East,Paid Ads
CUST00003,2025-08-29,56,Male,South,Organic Search
CUST00004,2025-11-09,47,Other,Central,Organic Search
CUST00005,2024-05-28,32,Other,West,Organic Search
CUST00006,2025-01-02,32,Male,North,Paid Ads
CUST00007,2024-07-22,25,Male,Central,Email Campaign
CUST00008,2024-09-13,41,Male,Central,Paid Ads
CUST00009,2025-07-03,38,Other,Central,Social Media
CUST00010,2024-02-02,20,Male,West,Email Campaign
CUST00011,2024-04-29,30,Female,North,Paid Ads
CUST00012,2024-11-04,34,Other,West,Referral
CUST00013,2024-12-12,47,Female,South,Paid Ads
CUST00014,2024-12-30,23,Female,North,Organic Search
CUST00015,2024-05-09,46,Female,North,Referral
CUST00016,2024-05-17,40,Female,Central,Referral
CUST00017,2024-08-15,20,Male,West,Email Campaign
CUST00018,2024-09-06,29,Male,West,Organic Search
CUST00019,2025-01-14,41,Other,East,Email Campaign
CUST00020,2025-11-21,33,Female,Central,Paid Ads
CUST00021,2024-05-19,50,Other,North,Organic Search
CUST00022,2024-02-21,49,Other,South,Referral
CUST00023,2024-03-22,41,Male,South,Organic Search
CUST00024,2024-02-14,49,Female,East,Social Media
CUST00025,2024-08-15,47,Other,East,Paid Ads
CUST00026,2024-11-26,54,Female,East,Paid Ads
CUST00027,2025-05-14,42,Other,East,Organic Search
CUST00028,2024-12-11,56,Other,South,Email Campaign
CUST00029,2024-10-26,39,Other,South,Paid Ads
CUST00030,2024-12-21,34,Female,West,Referral
CUST00031,2024-06-23,55,Other,Central,Paid Ads
CUST00032,2024-02-23,31,Other,East,Organic Search
CUST00033,2024-04-22,48,Male,North,Referral
CUST00034,2024-05-10,41,Female,East,Organic Search
CUST00035,2025-01-12,29,Male,Central,Referral
CUST00036,2024-10-25,34,Male,West,Social Media
CUST00037,2025-08-25,38,Other,West,Paid Ads
CUST00038,2024-06-04,35,Female,South,Paid Ads
CUST00039,2024-08-24,36,Other,Central,Email Campaign
CUST00040,2025-05-07,42,Female,Central,Social Media
CUST00041,2025-11-11,18,Other,West,Referral
CUST00042,2024-01-26,37,Male,South,Email Campaign
CUST00043,2024-12-17,35,Female,North,Organic Search
CUST00044,2024-12-08,41,Male,South,Paid Ads
CUST00045,2025-12-16,51,Other,West,Email Campaign
CUST00046,2025-05-24,47,Male,West,Social Media
CUST00047,2025-03-18,45,Other,West,Email Campaign
CUST00048,2025-08-07,64,Female,Central,Organic Search
CUST00049,2024-05-10,39,Other,North,Email Campaign
CUST00050,2024-01-12,31,Female,East,Organic Search
CUST00051,2024-06-07,25,Female,West,Paid Ads
CUST00052,2024-09-27,43,Female,North,Referral
CUST00053,2025-12-22,28,Other,South,Email Campaign
CUST00054,2025-09-06,34,Male,East,Email Campaign
CUST00055,2025-04-06,40,Other,South,Paid Ads
CUST00056,2024-06-18,53,Female,South,Email Campaign
CUST00057,2025-09-20,41,Other,North,Email Campaign
CUST00058,2024-09-01,47,Female,West,Organic Search
CUST00059,2025-09-19,41,Male,East,Referral
CUST00060,2024-02-28,42,Male,North,Paid Ads
CUST00061,2025-09-20,41,Other,North,Organic Search
CUST00062,2024-04-22,29,Other,West,Organic Search
CUST00063,2025-04-29,23,Other,South,Paid Ads
CUST00064,2024-06-15,45,Other,West,Email Campaign
CUST00065,2025-06-06,49,Male,East,Email Campaign
CUST00066,2025-02-01,42,Other,West,Paid Ads
CUST00067,2024-09-14,27,Other,South,Referral
CUST00068,2025-12-07,28,Female,East,Social Media
CUST00069,2025-03-17,38,Other,West,Organic Search
CUST00070,2024-12-10,55,Male,South,Organic Search
CUST00071,2025-05-20,25,Female,North,Email Campaign
CUST00072,2025-11-04,43,Other,South,Email Campaign
CUST00073,2024-09-16,43,Male,North,Organic Search
CUST00074,2025-11-10,37,Other,North,Paid Ads
CUST00075,2024-09-26,32,Male,North,Referral
CUST00076,2025-01-24,48,Male,Central,Paid Ads
CUST00077,2025-11-19,27,Female,West,Paid Ads
CUST00078,2025-11-24,39,Other,South,Email Campaign
CUST00079,2024-12-28,42,Other,West,Paid Ads
CUST00080,2025-05-06,44,Female,West,Paid Ads
CUST00081,2024-07-24,44,Male,North,Social Media
CUST00082,2025-10-01,44,Female,West,Social Media
CUST00083,2024-12-17,44,Female,North,Organic Search
CUST00084,2025-07-11,51,Male,West,Referral
CUST00085,2024-08-24,28,Male,South,Paid Ads
CUST00086,2024-01-26,35,Male,Central,Social Media
CUST00087,2025-01-14,46,Male,West,Paid Ads
CUST00088,2024-01-27,18,Female,West,Paid Ads
CUST00089,2024-09-09,38,Male,West,Email Campaign
CUST00090,2024-05-31,25,Male,North,Email Campaign
CUST00091,2024-02-29,38,Male,North,Paid Ads
CUST00092,2025-03-22,30,Male,West,Social Media
CUST00093,2025-11-14,18,Female,South,Social Media
CUST00094,2024-07-08,40,Male,South,Social Media
CUST00095,2024-02-24,44,Male,West,Referral
CUST00096,2024-05-01,48,Female,East,Social Media
CUST00097,2024-06-24,59,Other,Central,Social Media
CUST00098,2024-07-14,42,Male,South,Referral
CUST00099,2025-11-17,63,Male,North,Email Campaign
CUST00100,2024-06-22,50,Other,Central,Organic Search
CUST00101,2025-06-14,43,Other,East,Organic Search
CUST00102,2024-03-09,47,Male,Central,Social Media
CUST00103,2024-11-27,34,Other,Central,Paid Ads
CUST00104,2025-03-07,23,Male,Central,Organic Search
CUST00105,2024-02-01,55,Male,North,Email Campaign
CUST00106,2025-08-22,20,Male,South,Social Media
CUST00107,2024-04-24,40,Male,Central,Paid Ads
CUST00108,2025-02-14,30,Other,Central,Organic Search
CUST00109,2025-11-27,57,Other,North,Social Media
CUST00110,2025-01-16,23,Other,Central,Email Campaign
CUST00111,2025-12-08,41,Other,East,Referral
CUST00112,2024-08-11,30,Male,East,Paid Ads
CUST00113,2024-01-17,30,Female,West,Paid Ads
CUST00114,2025-05-02,48,Other,East,Social Media
CUST00115,2025-09-06,47,Female,North,Organic Search
CUST00116,2024-05-04,45,Female,Central,Email Campaign
CUST00117,2025-07-18,37,Male,North,Email Campaign
CUST00118,2025-06-27,39,Male,Central,Referral
