customer_id,support_tickets_last_90d,app_logins_last_30d,email_open_rate,avg_support_csat
CUST00001,0,4,0.4,4.8
CUST00002,0,8,0.71,3.4
CUST00003,0,8,0.67,4.1
CUST00004,0,16,0.42,4.7
CUST00005,2,0,0.22,4.2
CUST00006,0,5,0.23,4.0
CUST00007,0,5,0.36,4.5
CUST00008,1,7,0.36,3.3
CUST00009,1,8,0.31,3.9
CUST00010,0,2,0.38,3.8
CUST00011,1,1,0.29,3.8
CUST00012,0,3,0.02,3.8
CUST00013,0,6,0.7,5.0
CUST00014,1,4,0.22,3.8
CUST00015,0,2,0.38,3.4
CUST00016,0,10,0.63,5.0
CUST00017,0,18,0.62,5.0
CUST00018,1,0,0.23,1.9
CUST00019,0,4,0.25,4.6
CUST00020,1,11,0.61,4.6
CUST00021,0,2,0.39,5.0
CUST00022,0,4,0.37,4.0
CUST00023,0,5,0.68,3.7
CUST00024,0,4,0.63,4.2
CUST00025,2,7,0.57,4.0
CUST00026,1,0,0.37,3.2
CUST00027,1,12,0.5,4.5
CUST00028,1,0,0.45,4.4
CUST00029,0,3,0.35,3.7
CUST00030,1,8,0.38,5.0
CUST00031,1,1,0.31,3.6
CUST00032,1,8,0.51,4.3
CUST00033,1,4,0.36,3.0
CUST00034,1,1,0.24,3.2
CUST00035,1,0,0.24,3.1
CUST00036,0,11,0.62,3.9
CUST00037,2,1,0.0,3.1
CUST00038,1,6,0.5,3.9
CUST00039,0,11,0.56,4.9
CUST00040,2,3,0.23,3.0
CUST00041,0,5,0.56,4.2
CUST00042,0,9,0.48,4.0
CUST00043,2,2,0.22,4.5
CUST00044,0,7,0.54,5.0
CUST00045,0,6,0.37,5.0
CUST00046,0,5,0.38,3.2
CUST00047,0,6,0.56,3.9
CUST00048,0,10,0.37,5.0
CUST00049,0,4,0.35,4.3
CUST00050,0,1,0.43,3.8
CUST00051,0,3,0.43,2.3
CUST00052,1,3,0.38,3.9
CUST00053,3,5,0.19,3.9
CUST00054,0,0,0.26,3.8
CUST00055,1,4,0.46,4.7
CUST00056,0,0,0.27,2.8
CUST00057,0,14,0.35,4.8
CUST00058,1,7,0.28,3.2
CUST00059,2,2,0.25,3.4
CUST00060,0,2,0.15,3.8
CUST00061,0,9,0.65,5.0
CUST00062,1,14,0.6,4.4
CUST00063,0,3,0.4,2.2
CUST00064,2,4,0.32,4.1
CUST00065,1,5,0.16,3.5
CUST00066,1,2,0.13,4.4
CUST00067,0,18,0.63,3.2
CUST00068,0,10,0.49,3.2
CUST00069,0,0,0.0,3.3
CUST00070,1,1,0.44,2.3
CUST00071,1,5,0.44,4.0
CUST00072,2,5,0.44,3.5
CUST00073,0,1,0.26,3.1
CUST00074,0,5,0.2,3.8
CUST00075,3,9,0.32,3.5
CUST00076,0,11,0.53,3.5
CUST00077,0,3,0.35,4.8
CUST00078,1,2,0.36,3.3
CUST00079,0,11,0.42,5.0
CUST00080,2,2,0.43,3.4
CUST00081,0,4,0.29,3.5
CUST00082,0,0,0.17,3.9
CUST00083,0,4,0.28,2.6
CUST00084,0,4,0.21,3.9
CUST00085,0,0,0.05,3.2
CUST00086,0,3,0.32,3.8
CUST00087,2,5,0.45,4.3
CUST00088,0,10,0.39,5.0
CUST00089,1,0,0.13,3.7
CUST00090,2,3,0.39,4.5
CUST00091,0,2,0.48,3.2
CUST00092,1,3,0.55,4.8
CUST00093,0,6,0.4,3.9
CUST00094,0,3,0.07,4.0
CUST00095,0,3,0.43,4.3
CUST00096,0,5,0.4,5.0
CUST00097,2,14,0.48,4.4
CUST00098,0,6,0.43,3.1
CUST00099,0,5,0.4,4.1
CUST00100,0,5,0.53,4.8
CUST00101,2,6,0.32,4.7
CUST00102,0,7,0.64,5.0
CUST00103,0,4,0.29,3.3
CUST00104,1,7,0.38,4.4
CUST00105,0,0,0.17,3.5
CUST00106,0,4,0.37,3.2
CUST00107,1,2,0.29,5.0
CUST00108,0,6,0.74,5.0
CUST00109,1,2,0.61,4.3
CUST00110,1,6,0.18,4.6
CUST00111,0,5,0.25,3.6
CUST00112,1,11,0.57,3.9
CUST00113,0,1,0.1,2.6
CUST00114,0,9,0.65,4.5
CUST00115,1,2,0.33,3.8
CUST00116,1,8,0.63,3.0
CUST00117,0,3,0.13,4.6
CUST00118,1,6,0.39,3.7
CUST00119,0,4,0.39,4.4
CUST00120,0,3,0.24,2.5
CUST00121,1,12,0.55,4.1
CUST00122,0,5,0.33,3.7
CUST00123,3,0,0.29,4.5
CUST00124,0,6,0.43,4.4
CUST00125,2,2,0.44,1.9
CUST00126,0,0,0.28,3.6
CUST00127,1,2,0.4,3.1
CUST00128,0,7,0.79,2.9
CUST00129,1,7,0.47,3.2
CUST00130,0,10,0.24,5.0
CUST00131,0,3,0.0,4.1
CUST00132,0,11,0.14,5.0
CUST00133,1,1,0.12,3.2
CUST00134,2,1,0.13,4.0
CUST00135,0,7,0.5,5.0
CUST00136,0,1,0.07,4.4
CUST00137,0,5,0.55,4.3
CUST00138,0,16,0.59,3.9
CUST00139,0,12,0.22,4.6
CUST00140,0,1,0.27,3.4
CUST00141,1,6,0.29,3.7
CUST00142,0,10,0.4,3.5
CUST00143,0,7,0.42,4.4
CUST00144,0,12,0.4,3.7
CUST00145,0,9,0.18,4.4
CUST00146,0,8,0.15,5.0
CUST00147,0,3,0.38,3.7
CUST00148,2,3,0.18,4.1
CUST00149,2,6,0.45,4.8
CUST00150,1,1,0.28,4.6
CUST00151,0,2,0.44,2.6
CUST00152,0,1,0.08,3.7
CUST00153,0,0,0.27,4.0
CUST00154,0,4,0.35,3.2
CUST00155,0,14,0.8,5.0
CUST00156,0,5,0.44,3.3
CUST00157,2,1,0.35,3.6
CUST00158,0,3,0.4,4.4
CUST00159,0,9,0.43,3.7
CUST00160,2,3,0.31,2.7
CUST00161,1,0,0.1,3.6
CUST00162,0,8,0.37,3.0
CUST00163,0,8,0.7,4.5
CUST00164,0,13,0.45,4.5
CUST00165,0,3,0.08,3.7
CUST00166,0,3,0.68,3.7
CUST00167,2,0,0.0,3.9
CUST00168,1,1,0.28,3.9
CUST00169,1,17,0.54,3.9
CUST00170,0,6,0.48,3.8
CUST00171,0,0,0.19,3.5
CUST00172,1,3,0.03,4.2
CUST00173,0,0,0.0,3.7
CUST00174,1,7,0.39,2.6
CUST00175,0,7,0.28,4.5
CUST00176,0,10,0.57,3.9
CUST00177,1,10,0.6,5.0
