transaction_id,customer_id,transaction_date,amount,category,discount_used
TXN0000001,CUST00001,2025-10-31,75.49,Sports,0
TXN0000002,CUST00002,2025-08-31,27.37,Books,0
TXN0000003,CUST00002,2025-02-20,67.09,Beauty,0
TXN0000004,CUST00002,2025-01-18,35.56,Home & Kitchen,0
TXN0000005,CUST00002,2025-04-17,34.42,Books,1
TXN0000006,CUST00002,2025-12-03,132.9,Electronics,0
TXN0000007,CUST00002,2024-08-11,27.99,Sports,0
TXN0000008,CUST00002,2025-04-01,72.71,Home & Kitchen,0
TXN0000009,CUST00002,2025-04-03,81.68,Sports,0
TXN0000010,CUST00002,2025-04-07,71.46,Electronics,1
TXN0000011,CUST00002,2025-07-22,72.64,Books,0
TXN0000012,CUST00002,2024-05-19,41.53,Electronics,1
TXN0000013,CUST00002,2025-01-25,34.19,Home & Kitchen,1
TXN0000014,CUST00002,2024-10-05,20.43,Electronics,0
TXN0000015,CUST00002,2025-11-11,108.95,Fashion,0
TXN0000016,CUST00002,2025-09-02,209.55,Sports,0
TXN0000017,CUST00002,2024-07-08,94.37,Electronics,1
TXN0000018,CUST00002,2025-08-06,64.77,Electronics,0
TXN0000019,CUST00002,2024-06-21,35.38,Books,0
TXN0000020,CUST00002,2025-07-13,90.31,Fashion,0
TXN0000021,CUST00002,2025-02-14,127.7,Sports,1
TXN0000022,CUST00002,2025-06-23,69.1,Beauty,0
TXN0000023,CUST00002,2024-12-30,78.9,Fashion,0
TXN0000024,CUST00002,2024-11-14,34.72,Fashion,0
TXN0000025,CUST00002,2024-06-11,144.44,Sports,0
TXN0000026,CUST00002,2025-10-26,51.3,Books,0
TXN0000027,CUST00002,2025-10-29,75.0,Fashion,0
TXN0000028,CUST00002,2025-10-08,91.22,Sports,0
TXN0000029,CUST00002,2024-09-14,20.35,Books,0
TXN0000030,CUST00002,2024-10-19,45.07,Fashion,0
TXN0000031,CUST00002,2024-11-20,81.74,Sports,0
TXN0000032,CUST00002,2025-07-25,74.1,Books,0
TXN0000033,CUST00003,2025-12-13,24.01,Sports,0
TXN0000034,CUST00003,2025-11-18,94.36,Beauty,1
TXN0000035,CUST00003,2025-10-06,21.39,Books,0
TXN0000036,CUST00003,2025-12-04,25.52,Electronics,0
TXN0000037,CUST00004,2025-12-21,88.17,Books,0
TXN0000038,CUST00004,2025-11-24,16.97,Sports,1
TXN0000039,CUST00004,2025-12-27,175.31,Home & Kitchen,0
