customer_id,signup_date,age,gender,region,acquisition_channel,tenure_days,tenure_months,recency_days,frequency,monetary,avg_order_value,RFM_total,segment,customer_value_tier,support_tickets_last_90d,app_logins_last_30d,email_open_rate,avg_support_csat,churn_probability,risk_tier,recommended_action,churned
CUST00001,2025-10-27,45,Other,North,Organic Search,65,2.2,61.0,1.0,75.49,75.49,4.0,Hibernating,Bronze,0,4,0.4,4.8,0.0014,Low,Standard engagement / newsletter,0
CUST00002,2024-04-19,56,Other,East,Paid Ads,621,20.7,28.0,31.0,2216.94,71.51,13.0,Loyal Customers,Platinum,0,8,0.71,3.4,0.0008,Low,Standard engagement / newsletter,0
CUST00003,2025-08-29,56,Male,South,Organic Search,124,4.1,18.0,4.0,165.28,41.32,8.0,New Customers,Silver,0,8,0.67,4.1,0.0055,Low,Standard engagement / newsletter,0
CUST00004,2025-11-09,47,Other,Central,Organic Search,52,1.7,4.0,4.0,366.89,91.72,10.0,New Customers,Gold,0,16,0.42,4.7,0.0009,Low,Standard engagement / newsletter,0
CUST00005,2024-05-28,32,Other,West,Organic Search,582,19.4,101.0,2.0,48.21,24.1,3.0,Hibernating,Bronze,2,0,0.22,4.2,0.9651,High,Send targeted discount / re-engagement email,1
CUST00006,2025-01-02,32,Male,North,Paid Ads,363,12.1,117.0,7.0,322.32,46.05,7.0,At Risk,Gold,0,5,0.23,4.0,0.6398,Medium,Monitor + include in nurture campaign,1
CUST00007,2024-07-22,25,Male,Central,Email Campaign,527,17.6,17.0,24.0,1143.1,47.63,14.0,Champions,Platinum,0,5,0.36,4.5,0.0233,Low,Upsell / referral program invite,0
CUST00008,2024-09-13,41,Male,Central,Paid Ads,474,15.8,233.0,8.0,318.37,39.8,7.0,At Risk,Gold,1,7,0.36,3.3,0.8568,High,Send targeted discount / re-engagement email,1
CUST00009,2025-07-03,38,Other,Central,Social Media,181,6.0,113.0,2.0,128.85,64.42,4.0,Hibernating,Silver,1,8,0.31,3.9,0.1085,Low,Standard engagement / newsletter,1
CUST00010,2024-02-02,20,Male,West,Email Campaign,698,23.3,173.0,7.0,176.14,25.16,6.0,Lost,Silver,0,2,0.38,3.8,0.8885,High,Send targeted discount / re-engagement email,1
CUST00011,2024-04-29,30,Female,North,Paid Ads,611,20.4,33.0,7.0,328.93,46.99,9.0,Loyal Customers,Gold,1,1,0.29,3.8,0.2389,Low,Standard engagement / newsletter,0
CUST00012,2024-11-04,34,Other,West,Referral,422,14.1,72.0,3.0,132.79000000000002,44.26,6.0,Hibernating,Silver,0,3,0.02,3.8,0.4572,Medium,Monitor + include in nurture campaign,0
CUST00013,2024-12-12,47,Female,South,Paid Ads,384,12.8,7.0,23.0,1753.85,76.25,15.0,Champions,Platinum,0,6,0.7,5.0,0.0003,Low,Upsell / referral program invite,0
CUST00014,2024-12-30,23,Female,North,Organic Search,366,12.2,14.0,9.0,678.55,75.39,12.0,Champions,Platinum,1,4,0.22,3.8,0.0234,Low,Upsell / referral program invite,0
CUST00015,2024-05-09,46,Female,North,Referral,601,20.0,69.0,5.0,192.03,38.41,6.0,Hibernating,Silver,0,2,0.38,3.4,0.2076,Low,Standard engagement / newsletter,0
CUST00016,2024-05-17,40,Female,Central,Referral,593,19.8,52.0,29.0,1907.68,65.78,12.0,At Risk,Platinum,0,10,0.63,5.0,0.0008,Low,Standard engagement / newsletter,0
CUST00017,2024-08-15,20,Male,West,Email Campaign,503,16.8,7.0,26.0,1978.23,76.09,15.0,Champions,Platinum,0,18,0.62,5.0,0.0004,Low,Upsell / referral program invite,0
CUST00018,2024-09-06,29,Male,West,Organic Search,481,16.0,380.0,1.0,17.73,17.73,3.0,Hibernating,Bronze,1,0,0.23,1.9,0.9967,High,Send targeted discount / re-engagement email,1
CUST00019,2025-01-14,41,Other,East,Email Campaign,351,11.7,1.0,5.0,205.91,41.18,9.0,New Customers,Silver,0,4,0.25,4.6,0.4527,Medium,Monitor + include in nurture campaign,0
CUST00020,2025-11-21,33,Female,Central,Paid Ads,40,1.3,25.0,1.0,17.55,17.55,5.0,Promising,Bronze,1,11,0.61,4.6,0.0039,Low,Standard engagement / newsletter,0
CUST00021,2024-05-19,50,Other,North,Organic Search,591,19.7,83.0,7.0,255.56,36.51,8.0,At Risk,Silver,0,2,0.39,5.0,0.3489,Medium,Monitor + include in nurture campaign,0
CUST00022,2024-02-21,49,Other,South,Referral,679,22.6,144.0,7.0,369.03,52.72,7.0,At Risk,Gold,0,4,0.37,4.0,0.6325,Medium,Monitor + include in nurture campaign,1
CUST00023,2024-03-22,41,Male,South,Organic Search,649,21.6,55.0,11.0,641.55,58.32,10.0,At Risk,Platinum,0,5,0.68,3.7,0.1448,Low,Standard engagement / newsletter,0
CUST00024,2024-02-14,49,Female,East,Social Media,686,22.9,2.0,22.0,1556.62,70.76,15.0,Champions,Platinum,0,4,0.63,4.2,0.0018,Low,Upsell / referral program invite,0
CUST00025,2024-08-15,47,Other,East,Paid Ads,503,16.8,24.0,10.0,546.6,54.66,11.0,Loyal Customers,Gold,2,7,0.57,4.0,0.0504,Low,Standard engagement / newsletter,0
CUST00026,2024-11-26,54,Female,East,Paid Ads,400,13.3,400.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,1,0,0.37,3.2,0.9983,High,Send targeted discount / re-engagement email,1
CUST00027,2025-05-14,42,Other,East,Organic Search,231,7.7,59.0,8.0,635.5699999999999,79.45,9.0,At Risk,Platinum,1,12,0.5,4.5,0.0029,Low,Standard engagement / newsletter,0
CUST00028,2024-12-11,56,Other,South,Email Campaign,385,12.8,22.0,4.0,152.51,38.13,8.0,New Customers,Silver,1,0,0.45,4.4,0.8702,High,Send targeted discount / re-engagement email,0
CUST00029,2024-10-26,39,Other,South,Paid Ads,431,14.4,431.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,0,3,0.35,3.7,0.994,High,Send targeted discount / re-engagement email,1
CUST00030,2024-12-21,34,Female,West,Referral,375,12.5,6.0,5.0,217.93,43.59,9.0,New Customers,Silver,1,8,0.38,5.0,0.8978,High,Send targeted discount / re-engagement email,0
CUST00031,2024-06-23,55,Other,Central,Paid Ads,556,18.5,152.0,1.0,80.76,80.76,3.0,Hibernating,Silver,1,1,0.31,3.6,0.9925,High,Send targeted discount / re-engagement email,1
CUST00032,2024-02-23,31,Other,East,Organic Search,677,22.6,19.0,16.0,888.71,55.54,14.0,Champions,Platinum,1,8,0.51,4.3,0.3266,Low,Upsell / referral program invite,0
CUST00033,2024-04-22,48,Male,North,Referral,618,20.6,43.0,14.0,659.44,47.1,10.0,At Risk,Platinum,1,4,0.36,3.0,0.0553,Low,Standard engagement / newsletter,0
CUST00034,2024-05-10,41,Female,East,Organic Search,600,20.0,523.0,2.0,189.4,94.7,4.0,Hibernating,Silver,1,1,0.24,3.2,0.9255,High,Send targeted discount / re-engagement email,1
CUST00035,2025-01-12,29,Male,Central,Referral,353,11.8,353.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,1,0,0.24,3.1,0.994,High,Send targeted discount / re-engagement email,1
CUST00036,2024-10-25,34,Male,West,Social Media,432,14.4,8.0,9.0,457.13,50.79,13.0,Champions,Gold,0,11,0.62,3.9,0.0812,Low,Upsell / referral program invite,0
