customer_id,recency_days,frequency,monetary,avg_order_value,R_score,F_score,M_score,RFM_score,RFM_total,segment
CUST00001,61,1,75.49,75.49,2,1,1,211,4,Hibernating
CUST00002,28,31,2216.94,71.51,3,5,5,355,13,Loyal Customers
CUST00003,18,4,165.28,41.32,4,2,2,422,8,New Customers
CUST00004,4,4,366.89,91.72,5,2,3,523,10,New Customers
CUST00005,101,2,48.21,24.1,1,1,1,111,3,Hibernating
CUST00006,117,7,322.32,46.05,1,3,3,133,7,At Risk
CUST00007,17,24,1143.1,47.63,4,5,5,455,14,Champions
CUST00008,233,8,318.37,39.8,1,3,3,133,7,At Risk
CUST00009,113,2,128.85,64.42,1,1,2,112,4,Hibernating
CUST00010,173,7,176.14,25.16,1,3,2,132,6,Lost
CUST00011,33,7,328.93,46.99,3,3,3,333,9,Loyal Customers
CUST00012,72,3,132.79000000000002,44.26,2,2,2,222,6,Hibernating
CUST00013,7,23,1753.85,76.25,5,5,5,555,15,Champions
CUST00014,14,9,678.55,75.39,4,4,4,444,12,Champions
CUST00015,69,5,192.03,38.41,2,2,2,222,6,Hibernating
CUST00016,52,29,1907.68,65.78,2,5,5,255,12,At Risk
CUST00017,7,26,1978.23,76.09,5,5,5,555,15,Champions
CUST00018,380,1,17.73,17.73,1,1,1,111,3,Hibernating
CUST00019,1,5,205.91,41.18,5,2,2,522,9,New Customers
CUST00020,25,1,17.55,17.55,3,1,1,311,5,Promising
CUST00021,83,7,255.56,36.51,2,3,3,233,8,At Risk
CUST00022,144,7,369.03,52.72,1,3,3,133,7,At Risk
CUST00023,55,11,641.55,58.32,2,4,4,244,10,At Risk
CUST00024,2,22,1556.62,70.76,5,5,5,555,15,Champions
CUST00025,24,10,546.6,54.66,3,4,4,344,11,Loyal Customers
CUST00027,59,8,635.5699999999999,79.45,2,3,4,234,9,At Risk
CUST00028,22,4,152.51,38.13,4,2,2,422,8,New Customers
CUST00030,6,5,217.93,43.59,5,2,2,522,9,New Customers
CUST00031,152,1,80.76,80.76,1,1,1,111,3,Hibernating
CUST00032,19,16,888.71,55.54,4,5,5,455,14,Champions
CUST00033,43,14,659.44,47.1,2,4,4,244,10,At Risk
CUST00034,523,2,189.4,94.7,1,1,2,112,4,Hibernating
CUST00036,8,9,457.13,50.79,5,4,4,544,13,Champions
CUST00038,16,16,981.81,61.36,4,5,5,455,14,Champions
CUST00039,6,20,1170.88,58.54,5,5,5,555,15,Champions
CUST00040,44,2,47.559999999999995,23.78,2,1,1,211,4,Hibernating
CUST00042,309,10,416.07,41.61,1,4,3,143,8,At Risk
CUST00043,156,3,78.38,26.13,1,2,1,121,4,Hibernating
CUST00044,8,20,1280.33,64.02,5,5,5,555,15,Champions
CUST00046,33,9,633.73,70.41,3,4,4,344,11,Loyal Customers
CUST00047,12,5,279.65999999999997,55.93,4,2,3,423,9,New Customers
CUST00048,95,3,156.34,52.11,1,2,2,122,5,Hibernating
CUST00049,44,15,779.47,51.96,2,5,4,254,11,At Risk
CUST00050,251,6,275.01,45.84,1,3,3,133,7,At Risk
CUST00051,65,7,370.54,52.93,2,3,3,233,8,At Risk
CUST00052,159,8,340.5,42.56,1,3,3,133,7,At Risk
CUST00055,14,8,464.35,58.04,4,3,4,434,11,Loyal Customers
CUST00056,165,5,172.38,34.48,1,2,2,122,5,Hibernating
CUST00057,30,2,94.58,47.29,3,1,1,311,5,Promising
CUST00058,36,12,554.21,46.18,3,4,4,344,11,Loyal Customers
CUST00059,94,2,192.22,96.11,1,1,2,112,4,Hibernating
CUST00060,98,3,83.3,27.77,1,2,1,121,4,Hibernating
CUST00061,46,5,353.97,70.79,2,2,3,223,7,Others
CUST00062,5,20,1575.07,78.75,5,5,5,555,15,Champions
CUST00063,165,2,45.24,22.62,1,1,1,111,3,Hibernating
CUST00064,32,8,516.57,64.57,3,3,4,334,10,Loyal Customers
CUST00065,29,4,180.15,45.04,3,2,2,322,7,Promising
CUST00067,28,23,1473.1,64.05,3,5,5,355,13,Loyal Customers
CUST00070,30,5,257.32,51.46,3,2,3,323,8,Others
CUST00071,88,5,320.23,64.05,1,2,3,123,6,Lost
CUST00072,4,1,182.45,182.45,5,1,2,512,8,New Customers
CUST00073,30,2,173.64,86.82,3,1,2,312,6,Promising
CUST00074,3,2,149.55,74.78,5,1,2,512,8,New Customers
CUST00075,18,9,450.11,50.01,4,4,4,444,12,Champions
